MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross
live free or die hard,live-free-or-die-hard.html," $110,000,000"," $134,529,403"," $134,529,403"
ocean's twelve,ocean's-twelve.html," $110,000,000"," $125,531,634"," $125,531,634"
tomorrow never dies,tomorrow-never-dies.html," $110,000,000"," $125,304,276"," $125,304,276"
the patriot,the-patriot.html," $110,000,000"," $113,330,342"," $113,330,342"
passengers,passengers.html," $110,000,000"," $100,014,699"," $100,014,699"
ghost in the shell,ghost-in-the-shell.html," $110,000,000"," $40,563,557"," $40,563,557"
the lord of the rings: the fellowship of the ring,the-lord-of-the-rings:-the-fellowship-of-the-ring.html," $109,000,000"," $315,544,750"," $315,544,750"
ali,ali.html," $109,000,000"," $58,183,966"," $58,183,966"
the martian,the-martian.html," $108,000,000"," $228,433,663"," $228,433,663"
"i, robot","i,-robot.html"," $105,000,000"," $144,801,023"," $144,801,023"
gone in 60 seconds,gone-in-60-seconds.html," $103,300,000"," $101,643,008"," $101,643,008"
gladiator,gladiator.html," $103,000,000"," $187,683,805"," $187,683,805"
public enemies,public-enemies.html," $102,500,000"," $97,104,620"," $97,104,620"
casino royale,casino-royale.html," $102,000,000"," $167,365,000"," $167,365,000"
minority report,minority-report.html," $102,000,000"," $132,024,714"," $132,024,714"
harry potter and the chamber of secrets,harry-potter-and-the-chamber-of-secrets.html," $100,000,000"," $262,233,381"," $262,233,381"
terminator 2: judgment day,terminator-2:-judgment-day.html," $100,000,000"," $203,464,105"," $203,464,105"
batman forever,batman-forever.html," $100,000,000"," $184,031,112"," $184,031,112"
planet of the apes,planet-of-the-apes.html," $100,000,000"," $180,011,740"," $180,011,740"
django unchained,django-unchained.html," $100,000,000"," $162,805,434"," $162,805,434"
true lies,true-lies.html," $100,000,000"," $146,282,411"," $146,282,411"
american gangster,american-gangster.html," $100,000,000"," $130,164,645"," $130,164,645"
the wolf of wall street,the-wolf-of-wall-street.html," $100,000,000"," $116,900,694"," $116,900,694"
where the wild things are,where-the-wild-things-are.html," $100,000,000"," $77,233,467"," $77,233,467"
the tourist,the-tourist.html," $100,000,000"," $67,631,157"," $67,631,157"
surf's up,surf's-up.html," $100,000,000"," $58,867,694"," $58,867,694"
starship troopers,starship-troopers.html," $100,000,000"," $54,768,952"," $54,768,952"
catwoman,catwoman.html," $100,000,000"," $40,202,379"," $40,202,379"
point break,point-break.html," $100,000,000"," $28,782,481"," $28,782,481"
gangs of new york,gangs-of-new-york.html," $97,000,000"," $77,730,500"," $77,730,500"
the fifth element,the-fifth-element.html," $95,000,000"," $63,570,862"," $63,570,862"
the lovely bones,the-lovely-bones.html," $95,000,000"," $44,114,232"," $44,114,232"
finding nemo,finding-nemo.html," $94,000,000"," $380,529,370"," $380,529,370"
the lord of the rings: the return of the king,the-lord-of-the-rings:-the-return-of-the-king.html," $94,000,000"," $377,845,905"," $377,845,905"
the lord of the rings: the two towers,the-lord-of-the-rings:-the-two-towers.html," $94,000,000"," $342,548,984"," $342,548,984"
jurassic park iii,jurassic-park-iii.html," $93,000,000"," $181,166,115"," $181,166,115"
rise of the planet of the apes,rise-of-the-planet-of-the-apes.html," $93,000,000"," $176,760,185"," $176,760,185"
the incredibles,the-incredibles.html," $92,000,000"," $261,441,092"," $261,441,092"
a good day to die hard,a-good-day-to-die-hard.html," $92,000,000"," $67,349,198"," $67,349,198"
the secret life of walter mitty,the-secret-life-of-walter-mitty.html," $91,000,000"," $58,236,838"," $58,236,838"
men in black,men-in-black.html," $90,000,000"," $250,690,539"," $250,690,539"
rush hour 2,rush-hour-2.html," $90,000,000"," $226,164,286"," $226,164,286"
sherlock holmes,sherlock-holmes.html," $90,000,000"," $209,028,679"," $209,028,679"
what lies beneath,what-lies-beneath.html," $90,000,000"," $155,464,351"," $155,464,351"
the departed,the-departed.html," $90,000,000"," $132,384,315"," $132,384,315"
charlie's angels,charlie's-angels.html," $90,000,000"," $125,305,545"," $125,305,545"
mulan,mulan.html," $90,000,000"," $120,620,254"," $120,620,254"
tropic thunder,tropic-thunder.html," $90,000,000"," $110,515,313"," $110,515,313"
the girl with the dragon tattoo,the-girl-with-the-dragon-tattoo.html," $90,000,000"," $102,515,793"," $102,515,793"
contact,contact.html," $90,000,000"," $100,920,329"," $100,920,329"
